29.00	23.00
26.00	21.00
22.00	24.00
53.00	57.00
29.00	28.00
45.00	37.00
41.00	37.00
23.00	20.00
55.00	52.00
41.00	35.00
53.00	49.00
40.00	36.00
38.00	41.00
27.00	25.00
37.00	34.00
38.00	38.00
23.00	20.00
36.00	35.00
38.00	32.00
30.00	29.00
40.00	33.00
26.00	23.00
31.00	25.00
37.00	27.00
31.00	28.00
40.00	33.00
33.00	33.00
29.00	21.00
45.00	46.00
42.00	39.00
42.00	40.00
43.00	43.00
46.00	47.00
45.00	40.00
37.00	38.00
32.00	33.00
36.00	30.00
48.00	45.00
26.00	22.00
31.00	31.00
46.00	44.00
44.00	40.00
32.00	28.00
35.00	27.00
35.00	34.00
34.00	31.00
15.00	10.00
33.00	27.00
39.00	42.00
59.00	57.00
23.00	22.00
31.00	28.00
33.00	28.00
28.00	24.00
30.00	24.00
19.00	15.00
35.00	31.00
32.00	26.00
41.00	37.00
37.00	38.00
46.00	43.00
51.00	53.00
38.00	32.00
25.00	28.00
39.00	38.00
49.00	46.00
36.00	33.00
40.00	31.00
28.00	25.00
50.00	49.00
40.00	35.00
33.00	34.00
21.00	16.00
30.00	26.00
27.00	25.00
32.00	31.00
40.00	41.00
44.00	47.00
38.00	36.00
37.00	32.00
40.00	39.00
60.00	52.00
39.00	39.00
38.00	29.00
51.00	50.00
37.00	34.00
30.00	23.00
45.00	38.00
33.00	32.00
38.00	33.00
