27.00	0		
41.00	0		
23.00	0		
39.00	0		
26.00	0		
25.00	0		
29.00	0		
22.00	0		
34.00	0		
43.00	0		
31.00	0		
38.00	0		
35.00	0		
44.00	0		
32.00	0		
36.00	0		
56.00	0		
44.00	0		
25.00	0		
44.00	0		
25.00	0		
34.00	0		
36.00	0		
41.00	0		
30.00	0		
38.00	0		
49.00	0		
16.00	0		
24.00	0		
44.00	0		
31.00	0		
33.00	0		
42.00	0		
54.00	0		
22.00	0		
25.00	0		
33.00	0		
34.00	0		
34.00	0		
31.00	0		
44.00	0		
25.00	0		
35.00	0		
42.00	0		
37.00	0		
28.00	0		
35.00	0		
31.00	0		
28.00	0		
46.00	0		
32.00	0		
28.00	0		
27.00	0		
35.00	0		
20.00	0		
19.00	0		
35.00	0		
22.00	0		
30.00	0		
40.00	0		
42.00	0		
47.00	0		
24.00	0		
41.00	0		
36.00	0		
45.00	0		
35.00	0		
41.00	0		
44.00	0		
30.00	0		
29.00	0		
22.00	0		
33.00	0		
37.00	0		
27.00	0		
34.00	0		
30.00	0		
30.00	0		
41.00	0		
41.00	0		
44.00	0		
24.00	0		
32.00	0		
39.00	0		
22.00	0		
51.00	0		
36.00	0		
29.00	0		
43.00	0		
37.00	0		
37.00	1.00		
30.00	1.00		
21.00	1.00		
28.00	1.00		
31.00	1.00		
41.00	1.00		
42.00	1.00		
29.00	1.00		
44.00	1.00		
43.00	1.00		
35.00	1.00		
28.00	1.00		
45.00	1.00		
35.00	1.00		
27.00	1.00		
39.00	1.00		
41.00	1.00		
23.00	1.00		
53.00	1.00		
17.00	1.00		
22.00	1.00		
48.00	1.00		
39.00	1.00		
33.00	1.00		
37.00	1.00		
43.00	1.00		
29.00	1.00		
45.00	1.00		
43.00	1.00		
36.00	1.00		
38.00	1.00		
31.00	1.00		
29.00	1.00		
33.00	1.00		
46.00	1.00		
34.00	1.00		
32.00	1.00		
28.00	1.00		
26.00	1.00		
37.00	1.00		
46.00	1.00		
48.00	1.00		
42.00	1.00		
34.00	1.00		
33.00	1.00		
40.00	1.00		
45.00	1.00		
45.00	1.00		
17.00	1.00		
36.00	1.00		
28.00	1.00		
32.00	1.00		
52.00	1.00		
30.00	1.00		
21.00	1.00		
38.00	1.00		
35.00	1.00		
33.00	1.00		
44.00	1.00		
42.00	1.00		
40.00	1.00		
34.00	1.00		
40.00	1.00		
34.00	1.00		
38.00	1.00		
42.00	1.00		
40.00	1.00		
30.00	1.00		
32.00	1.00		
27.00	1.00		
45.00	1.00		
36.00	1.00		
31.00	1.00		
43.00	1.00		
32.00	1.00		
41.00	1.00		
50.00	1.00		
45.00	1.00		
35.00	1.00		
35.00	1.00		
54.00	1.00		
35.00	1.00		
39.00	1.00		
39.00	1.00		
45.00	1.00		
38.00	1.00		
40.00	1.00		
39.00	1.00		
60.00	1.00		
44.00	1.00		
