-5,9.9281e-06,2.6042e-17
-4.9,1.8333e-05,8.1973e-17
-4.8,3.3257e-05,2.5348e-16
-4.7,5.9266e-05,7.7e-16
-4.6,0.00010375,2.2978e-15
-4.5,0.00017844,6.7364e-15
-4.4,0.00030148,1.94e-14
-4.3,0.00050038,5.4888e-14
-4.2,0.00081587,1.5255e-13
-4.1,0.0013068,4.1653e-13
-4,0.0020564,1.1173e-12
-3.9,0.0031788,2.944e-12
-3.8,0.0048272,7.6208e-12
-3.7,0.0072014,1.9379e-11
-3.6,0.010554,4.8413e-11
-3.5,0.015195,1.1881e-10
-3.4,0.02149,2.8644e-10
-3.3,0.029859,6.7842e-10
-3.2,0.040756,1.5785e-09
-3.1,0.05465,3.6079e-09
-3,0.071988,8.1012e-09
-2.9,0.093156,1.787e-08
-2.8,0.11842,3.8724e-08
-2.7,0.14789,8.2435e-08
-2.6,0.18144,1.7239e-07
-2.5,0.21868,3.5417e-07
-2.4,0.25891,7.148e-07
-2.3,0.30115,1.4172e-06
-2.2,0.3441,2.7604e-06
-2.1,0.38626,5.2817e-06
-2,0.42593,9.9281e-06
-1.9,0.46141,1.8333e-05
-1.8,0.49103,3.3257e-05
-1.7,0.51334,5.9266e-05
-1.6,0.52722,0.00010375
-1.5,0.53192,0.00017844
-1.4,0.52722,0.00030148
-1.3,0.51334,0.00050038
-1.2,0.49103,0.00081587
-1.1,0.46141,0.0013068
-1,0.42593,0.0020564
-0.9,0.38626,0.0031788
-0.8,0.3441,0.0048272
-0.7,0.30115,0.0072014
-0.6,0.25891,0.010554
-0.5,0.21868,0.015195
-0.4,0.18144,0.02149
-0.3,0.14789,0.029859
-0.2,0.11842,0.040756
-0.1,0.093156,0.05465
0,0.071988,0.071988
0.1,0.05465,0.093156
0.2,0.040756,0.11842
0.3,0.029859,0.14789
0.4,0.02149,0.18144
0.5,0.015195,0.21868
0.6,0.010554,0.25891
0.7,0.0072014,0.30115
0.8,0.0048272,0.3441
0.9,0.0031788,0.38626
1,0.0020564,0.42593
1.1,0.0013068,0.46141
1.2,0.00081587,0.49103
1.3,0.00050038,0.51334
1.4,0.00030148,0.52722
1.5,0.00017844,0.53192
1.6,0.00010375,0.52722
1.7,5.9266e-05,0.51334
1.8,3.3257e-05,0.49103
1.9,1.8333e-05,0.46141
2,9.9281e-06,0.42593
2.1,5.2817e-06,0.38626
2.2,2.7604e-06,0.3441
2.3,1.4172e-06,0.30115
2.4,7.148e-07,0.25891
2.5,3.5417e-07,0.21868
2.6,1.7239e-07,0.18144
2.7,8.2435e-08,0.14789
2.8,3.8724e-08,0.11842
2.9,1.787e-08,0.093156
3,8.1012e-09,0.071988
3.1,3.6079e-09,0.05465
3.2,1.5785e-09,0.040756
3.3,6.7842e-10,0.029859
3.4,2.8644e-10,0.02149
3.5,1.1881e-10,0.015195
3.6,4.8413e-11,0.010554
3.7,1.9379e-11,0.0072014
3.8,7.6208e-12,0.0048272
3.9,2.944e-12,0.0031788
4,1.1173e-12,0.0020564
4.1,4.1653e-13,0.0013068
4.2,1.5255e-13,0.00081587
4.3,5.4888e-14,0.00050038
4.4,1.94e-14,0.00030148
4.5,6.7364e-15,0.00017844
4.6,2.2978e-15,0.00010375
4.7,7.7e-16,5.9266e-05
4.8,2.5348e-16,3.3257e-05
4.9,8.1973e-17,1.8333e-05
5,2.6042e-17,9.9281e-06
