 126.0 	    0.0 	    0.0 
 540.0 	    1.0 	   30.0 
 684.0 	    2.0 	   60.0 
 385.0 	    0.0 	   90.0 
 224.0 	    1.0 	    0.0 
 922.5 	    2.0 	   30.0 
 584.0 	    0.0 	   60.0 
 968.0 	    1.0 	   90.0 
 432.0 	    2.0 	    0.0 
 172.5 	    0.0 	   30.0 
1192.0 	    1.0 	   60.0 
1419.0 	    2.0 	   90.0 
 103.0 	    0.0 	    0.0 
 685.0 	    1.0 	   30.0 
1416.0 	    2.0 	   60.0 
 671.0 	    0.0 	   90.0 
 230.0 	    1.0 	    0.0 
 750.0 	    2.0 	   30.0 
 344.0 	    0.0 	   60.0 
 660.0 	    1.0 	   90.0 
 237.0 	    2.0 	    0.0 
 260.0 	    0.0 	   30.0 
 832.0 	    1.0 	   60.0 
1221.0 	    2.0 	   90.0 
